X,Y,FID,OBJECTID,TFM_ID,TFM_DESC,TFM_TYP_DE,MOVEMENT_T,SITE_DESC,ROAD_NBR,DECLARED_R,LOCAL_ROAD,DATA_SRC_C,DATA_SOURC,TIME_CATEG,YEAR_SINCE,LAST_YEAR,AADT_ALLVE,AADT_TRUCK,PER_TRUCKS,VSDATA_SITE
144.72625911137322,-37.823091432848784,4542,4023,5435,DOHERTYS RD E BD 300 M EAST OF WOODS RD,MIDBLOCK,All Moves,DOHERTYS RD 300 M EAST OF WOODS RD,9999,Missing Data,DOHERTYS ROAD,APARX,Classification,Between 5 and 10 Years,7,2009,5000,350,0.07,5435
145.00712025288152,-37.71598419895122,4547,4723,4891,SPRING ST NE OF EDWARDES ST,INTERSECTION,All Moves,EDWARDES ST & SPRING ST,5892,SPRING STREET,SPRING STREET,TMVMT,Manual,Greater than 10 Years,17,1999,11000,0,0.0,4891
145.0586199647748,-37.858385710791055,4550,4134,3466,MONASH FWY ON RAMP FROM WILLS N OF WILLS ST,INTERSECTION,On Ramp,MONASH FWY ON RAMP FROM WILLS ST & MONASH FWY ON RAMP FROM HIGH ST & WILLS ST,7306,5801B 2000R,HIGH-MONASH IN RAMP ON,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0,3466
144.99994281306164,-37.6830646921193,4552,4025,4267,EDGARS RD N OF METROPOLITAN RING RD EAST BND,INTERSECTION,All Moves,EDGARS RD & METROPOLITAN RING RD EAST BND RAMPS,5000,EDGARS ROAD,EDGARS ROAD,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0,4267
144.5915164311838,-37.472541967821805,4554,4225,5130,CALDER FWY NWBD ENTRY RAMP FROM GISBORNE-KILMORE RD,MIDBLOCK,All Moves,CALDER FWY ENTRY RAMP FROM GISBORNE-KILMORE RD,7062,5396B 2530F,STATION-CALDER OUT RAMP ON,APARX,Classification,Between 2 and 5 Years,4,2012,2700,250,0.1,5130
145.00868764809792,-37.870223692600405,4555,4524,4987,ORRONG RD N OF BALACLAVA RD,INTERSECTION,All Moves,BALACLAVA RD/ORRONG RD,9999,Missing Data,ORRONG ROAD,SCATS,Scats,Greater than 10 Years,11,2005,9200,0,0.0,4987
144.97526029941776,-37.7787617752315,4556,4135,4329,BRUNSWICK RD 20M AFTER TRUSCOTT ST,INTERSECTION,Scheduled PubTpt Bus flow,BRUNSWICK RD 20M AFTER TRUSCOTT ST,5863,BRUNSWICK ROAD,BRUNSWICK ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0,4329
145.1404994675768,-37.93728420362402,4557,4624,5329,WESTALL RD N of RAYHUR ST,INTERSECTION,All Moves,RAYHUR ST & WESTALL RD,5056,WESTALL ROAD,WESTALL ROAD,TMVMT,Manual,Greater than 10 Years,23,1993,10000,1200,0.12,5329
144.98612414845775,-37.28036146953427,4558,4026,3247,DRY CREEK RD NEBD BTW KILMORE EAST-SUNDAY CREEK RD & JEFFREYS LA,MIDBLOCK,All Moves,DRY CREEK RD NBTW KILMORE EAST-SUNDAY CREEK RD & JEFFREYS LA,9999,Missing Data,DRY CREEK ROAD,APARX,Classification,Between 2 and 5 Years,5,2011,130,30,0.28,3247
145.11144831909957,-37.83714209874231,4560,4725,3490,ELGAR RD N OF RIVERSDALE RD,INTERSECTION,All Moves,ELGAR RD/RIVERSDALE RD/PARK RD,5899,ELGAR ROAD,ELGAR ROAD,SCATS,Scats,Greater than 10 Years,18,1998,9700,0,0.0,3490
145.19298200195323,-37.93763798759027,4563,4136,5415,POLICE RD E BD BTWN JACKSONS RD & MONASH FREEWAY OFFRAMP,INTERSECTION,Scheduled PubTpt Bus flow,POLICE RD BTWN JACKSONS RD & MONASH FREEWAY OFFRAMP,5305,POLICE ROAD,POLICE ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0,5415
146.3772546714559,-38.22929996294648,4564,4027,3239,PRINCES FWY E BD OFF RAMP WEST OF TONERS LANE,MIDBLOCK,All Moves,PRINCES FWY OFF RAMP WEST OF TONERS LANE,5921,MORWELL-TRARALGON ROAD,MORWELL-TRARALGON ROAD,APARX,Classification,Between 2 and 5 Years,5,2011,7900,1100,0.15,3239
145.05851025938125,-37.6994432877738,4565,4526,3866,PLENTY RD N OF GRIMSHAW ST,INTERSECTION,All Moves,PLENTY RD/GRIMSHAW ST,2140,PLENTY VALLEY HIGHWAY,PLENTY ROAD,SCATS,Scats,Greater than 10 Years,17,1999,27000,0,0.0,3866
145.14377510365856,-37.78672059705836,4566,4726,4283,VICTORIA ST N 0f DONCASTER RD,INTERSECTION,All Moves,DONCASTER RD & VICTORIA ST & WETHERBY RD,5803,DONCASTER-MORDIALLOC ROAD,VICTORIA STREET,TMVMT,Manual,Greater than 10 Years,18,1998,8000,200,0.03,4283
142.0009120009304,-35.910311222717745,4568,4137,3784,BIRCHIP RAINBOW RD E BD BTW DIMBOOLA RAINBOW RD & CLARKE RD,MIDBLOCK,All Moves,BIRCHIP RAINBOW RD BTW DIMBOOLA RAINBOW RD & CLARKE RD,5162,BIRCHIP-RAINBOW ROAD,BIRCHIP-RAINBOW ROAD,APARX,Classification,Between 2 and 5 Years,3,2013,50,10,0.25,3784
144.83103336797632,-37.76420080280906,4571,4727,4695,MCINTYRE RD N OF BERKSHIRE RD,INTERSECTION,Left Missing,MCINTYRE RD/BERKSHIRE RD,5517,MCINTYRE ROAD,MCINTYRE ROAD,SCATS,Scats,Between 2 and 5 Years,3,2013,14000,0,0.0,4695
145.00278189764748,-37.80079738653821,4572,4228,3738,JOHNSTON ST W BD E OF CLARKE ST,INTERSECTION,All Moves,JOHNSTON ST E OF CLARKE ST,5854,JOHNSTON STREET BRIDGE,JOHNSTON STREET,MOTSV,Manual,Between 2 and 5 Years,5,2011,11000,210,0.02,3738
144.83022779874324,-37.747858304091125,4573,4527,5348,MAIN RD EAST E BD E of SUNSHINE AV,INTERSECTION,All Moves,MAIN RD EAST E OF SUNSHINE AV,5502,MAIN ROAD,MAIN ROAD E,TMVMT,Manual,Greater than 10 Years,18,1998,590,410,0.69,5348
144.99740519813565,-37.78111679986717,4575,4138,4908,WESTGARTH ST 80M AFTER HIGH ST,INTERSECTION,Scheduled PubTpt Bus flow,WESTGARTH ST 80M AFTER HIGH ST,5216,WESTGARTH STREET,WESTGARTH STREET,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0,4908
145.1945577146184,-37.8271755033451,4576,4029,3246,MITCHAM RD N BD BTW GROVE ST & CANTERBURY RD,MIDBLOCK,All Moves,MITCHAM RD BTW GROVE ST & CANTERBURY RD,5804,MITCHAM ROAD,MITCHAM ROAD,APARX,Classification,Greater than 10 Years,0,0,0,0,0.0,3246
145.03906830626863,-37.93287379574722,4577,4528,3737,JASPER RD N of SOUTH RD,INTERSECTION,All Moves,JASPER RD & SOUTH RD,5847,JASPER ROAD,JASPER ROAD,TMVMT,Manual,Greater than 10 Years,24,1992,6200,0,0.0,3737
145.05530867790944,-37.89842550115719,4581,4030,3329,KOORNANG RD N OF OAKLEIGH RD,INTERSECTION,All Moves,KOORNANG RD & OAKLEIGH RD,9999,Missing Data,KOORNANG ROAD,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0,3329
144.73924107395123,-37.872532038989085,4583,4628,4299,PRINCES FWY OFF RA NEBD NE OF FORSYTH RD,INTERSECTION,Off Ramp,PRINCES FWY OFF RA NNE OF FORSYTH RD,7315,5933B 2500R,FORSYTH-PRINCES IN RAMP ON,TMVMT,Manual,Greater than 10 Years,0,0,0,0,0.0,4299
142.16792437448566,-34.22973187382632,4587,4629,4840,KARADOC AVE NE of CALDER HWY,INTERSECTION,All Moves,CALDER HWY & KARADOC AVE,9999,Missing Data,KARADOC AVENUE,TMVMT,Manual,Greater than 10 Years,23,1993,870,30,0.04,4840
144.21665120380985,-37.06644979736642,4590,4730,4686,MIDLAND HWY (BARKE N of PYRENEES HWY (FORE,INTERSECTION,All Moves,MIDLAND HWY (BARKE & PYRENEES HWY (FORE,2590,MIDLAND HIGHWAY,BARKER STREET,TMVMT,Manual,Greater than 10 Years,24,1992,4700,180,0.04,4686
144.8272826717122,-37.785717202859445,4591,4231,2765,ANDERSON RD N BD BTW FRASER ST & FORREST ST,MIDBLOCK,All Moves,ANDERSON RD BTW FRASER ST & FORREST ST,5571,ANDERSON ROAD,ANDERSON ROAD,APARX,Classification,Between 5 and 10 Years,7,2009,12000,990,0.08,2765
145.02818860950276,-37.74068613934052,4592,4141,4339,MURRAY RD E BD BTWN ALBERT ST & CHIFLEY DR,INTERSECTION,Scheduled PubTpt Bus flow,MURRAY RD BTWN ALBERT ST & CHIFLEY DR,5732,MURRAY ROAD,MURRAY ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0,4339
145.34900468812418,-36.3883490807396,4594,4630,5321,GOULBURN VALLEY HW N of SOBRAON ST,INTERSECTION,All Moves,GOULBURN VALLEY HW & SOBRAON ST,9999,Missing Data,GOULBURN CROSS,TMVMT,Manual,Greater than 10 Years,24,1992,7800,420,0.05,5321
144.4564035161797,-37.237090144931,4595,4531,2991,SALEYARDS RD E of MOLLISON ST,INTERSECTION,All Moves,MOLLISON ST & SALEYARDS RD,9999,Missing Data,SALEYARDS ROAD,TMVMT,Manual,Greater than 10 Years,25,1991,310,50,0.17,2991
145.16093558936026,-37.90613250002872,4597,4142,4816,SPRINGVALE RD N OF MAGID AV,INTERSECTION,Left Missing,SPRINGVALE RD/MAGID AV/VILLAGE COURT,2400,STATE (BELL/SPRINGVALE) HIGHWAY,SPRINGVALE ROAD,SCATS,Scats,Between 2 and 5 Years,3,2013,32000,0,0.0,4816
145.1195495354578,-38.063492794128486,4600,4631,3810,NEPEAN HWY N OF BONDI RD,INTERSECTION,All Moves,NEPEAN HWY/BONDI RD/STATION ST,2660,NEPEAN HIGHWAY,NEPEAN HIGHWAY,SCATS,Scats,Between 2 and 5 Years,5,2011,12000,0,0.0,3810
145.03985406290263,-37.750504095356966,4602,4143,5399,ORIEL RD AT BELL ST,INTERSECTION,Scheduled PubTpt Bus flow,ORIEL RD AT BELL ST,5746,ORIEL ROAD,ORIEL ROAD,PUBTT,Other,Greater than 10 Years,0,0,0,0,0.0,5399
