Site,Samples,RMSE,MAE,MAPE (%),R2
2951,488,0.095222,0.084794,152.309,-0.743635
6630,488,0.095472,0.08135,78.5895,0.77919
2124,488,0.095478,0.072291,85.2839,0.716413
6285,488,0.095616,0.080476,240.1607,0.767378
4599,488,0.095844,0.080047,83.3838,0.734387
5661,488,0.095996,0.085484,359.7369,0.783282
4453,488,0.09609,0.072268,41.5802,0.748764
3518,488,0.096348,0.067247,31.0299,0.683268
2072,488,0.096422,0.075711,244.0207,0.774222
2243,488,0.096423,0.070261,91.7243,0.751813
3276,488,0.096612,0.078516,162.6398,0.368881
817,488,0.096899,0.08315,447.4396,0.735092
5872,488,0.096913,0.075208,300.0586,0.764527
4435,488,0.096953,0.070147,76.9809,0.78461
523,488,0.09703,0.07404,116.5057,0.717955
454,488,0.097037,0.07349,186.284,0.781657
2367,488,0.09716,0.076971,231.0376,0.692126
4425,488,0.097216,0.078356,156.5954,0.761286
2130,488,0.097377,0.074443,83.0571,0.758152
1109,488,0.097427,0.079623,169.4086,0.785012
5611,488,0.097497,0.086975,140.2145,0.779299
5846,488,0.097545,0.080782,412.5127,0.755494
6144,488,0.097552,0.073251,162.9688,0.759164
4572,488,0.097584,0.07654,51.7686,0.67879
4772,488,0.09784,0.067847,30.9741,0.591115
5388,488,0.097861,0.075739,38.2496,0.724366
4434,488,0.097912,0.071114,63.6146,0.781516
4262,488,0.097981,0.076476,79.5486,0.769447
4440,488,0.098036,0.079324,90.8541,0.768478
4049,488,0.09809,0.07952,52.5075,0.711268
5349,488,0.098104,0.078051,198.7295,0.768628
4570,488,0.098291,0.070063,96.808,0.605781
3778,488,0.098342,0.074423,85.7887,0.773628
1390,488,0.09845,0.081785,170.5504,0.781535
5062,488,0.0985,0.079445,159.0125,0.735667
5197,488,0.098591,0.069187,116.3956,0.63915
6247,488,0.098629,0.07915,298.8025,0.704724
4376,488,0.098648,0.071643,34.2502,0.760333
5882,488,0.09868,0.077952,243.779,0.774449
3705,488,0.098881,0.082914,190.6014,0.778135
5449,488,0.098892,0.073932,65.0343,0.762477
4086,488,0.098961,0.081173,205.9232,0.763874
5058,488,0.099311,0.082758,339.1461,0.671254
5360,488,0.099379,0.077021,261.9097,0.773516
5140,488,0.099401,0.085193,286.9003,0.766175
5130,488,0.099423,0.084806,222.7439,0.781888
32152,488,0.099507,0.078533,298.7628,0.765964
3449,488,0.099537,0.074567,161.7064,0.787819
3910,488,0.099582,0.083063,124.7755,0.767339
988,488,0.099621,0.089267,382.2578,0.78588
1509,488,0.099657,0.081881,205.9067,0.774119
6002,488,0.099734,0.09199,367.5835,0.783797
2577,488,0.099804,0.07434,78.9857,0.751876
609,488,0.099906,0.079178,71.7473,0.751595
6267,488,0.100068,0.076652,311.2491,0.759039
1374,488,0.100191,0.083267,64.0047,0.761922
4408,488,0.100284,0.079862,37.7549,0.595512
4904,488,0.100288,0.074189,317.87,0.510108
4767,488,0.100357,0.080052,141.2332,0.767576
5840,488,0.100488,0.090148,385.3357,0.787971
967,488,0.100559,0.078867,179.5678,0.767202
2266,488,0.100696,0.07527,86.0985,0.669721
4555,488,0.100888,0.080266,253.4749,0.755888
3035,488,0.100898,0.080233,559.51,0.576467
1469,488,0.100914,0.075245,81.601,0.754255
1215,488,0.100991,0.076114,152.4574,0.761941
3275,488,0.101002,0.081322,140.7215,0.503032
357,488,0.101013,0.07974,151.7127,0.714922
3760,488,0.101088,0.085847,119.8543,0.767795
2473,488,0.101163,0.074553,91.8862,0.764536
1212,488,0.101313,0.075882,105.887,0.763609
4557,488,0.101427,0.082666,140.225,0.765034
2129,488,0.101441,0.076977,66.842,0.734208
1991,488,0.10169,0.074295,68.8574,0.742218
2291,488,0.101706,0.080021,368.168,0.75144
1108,488,0.101794,0.084227,95.8868,0.782346
2389,488,0.101802,0.075013,140.8153,0.733389
4774,488,0.10199,0.06453,27.8046,0.706288
3004,488,0.102008,0.087012,85.8398,0.758803
2132,488,0.102017,0.078068,119.0218,0.754938
5336,488,0.102084,0.088692,109.9649,0.776781
3167,488,0.102133,0.080461,161.6121,0.766132
5089,488,0.102134,0.084587,190.1637,0.75574
653,488,0.102321,0.077239,126.9696,0.762825
1716,488,0.102385,0.078071,130.6221,0.778458
5852,488,0.102463,0.078418,145.3707,0.750108
3834,488,0.102488,0.084924,346.9564,0.677305
3768,488,0.102532,0.07678,193.8014,0.753442
4457,488,0.102584,0.076181,45.4271,0.742859
3546,488,0.102646,0.085786,167.8841,0.772374
1854,488,0.102721,0.082351,208.4741,0.725182
3906,488,0.102805,0.08364,96.0484,0.756209
5041,488,0.102827,0.083685,148.9616,0.762682
5940,488,0.102849,0.080899,154.1667,0.6906
3027,488,0.102867,0.086669,253.5646,0.77419
5036,488,0.102941,0.083551,87.1808,0.769774
6336,488,0.103,0.085694,189.3011,0.73665
1159,488,0.103082,0.078772,95.9188,0.782837
2582,488,0.103348,0.079447,129.4218,0.76308
3366,488,0.103389,0.082452,103.9664,0.643582
5120,488,0.103393,0.089452,341.9824,0.767517
918,488,0.103403,0.081331,242.0432,0.775417
2839,488,0.103687,0.08097,82.6415,0.752253
5436,488,0.103715,0.084308,217.6759,0.576243
4893,488,0.10378,0.08194,70.1522,0.709388
3024,488,0.103965,0.081834,124.0623,0.775808
1409,488,0.103984,0.080667,270.4719,0.769797
5377,488,0.104086,0.077019,101.3899,0.754747
3973,488,0.104173,0.084224,84.3717,0.740626
4764,488,0.104376,0.090672,90.5988,0.746477
1315,488,0.104383,0.075909,147.0392,0.750576
4246,488,0.104498,0.080348,142.9674,0.595441
1987,488,0.1045,0.076776,73.0206,0.758134
5500,488,0.104697,0.080951,181.4741,0.776292
6142,488,0.10482,0.083273,253.2593,0.775385
5012,488,0.104871,0.08156,186.3782,0.654642
682,488,0.104878,0.087735,114.2173,0.773754
312,488,0.104917,0.080597,176.3721,0.782319
1868,488,0.105148,0.076889,108.1424,0.75121
3463,488,0.10515,0.084619,388.1191,0.694418
32025,488,0.105251,0.07922,108.5796,0.760895
4626,488,0.105296,0.091678,145.0747,0.775074
4522,488,0.105311,0.084086,80.1935,0.726093
3184,488,0.105326,0.082198,179.4489,0.744978
1449,488,0.105447,0.089612,279.7834,0.772476
2359,488,0.105449,0.076341,105.2948,0.649209
3894,488,0.10547,0.083392,120.7225,0.755225
404,488,0.105521,0.080092,244.212,0.430238
1444,488,0.105667,0.082074,368.6067,0.765292
32260,8,0.105687,0.105407,,
4676,488,0.105725,0.087181,27.2203,0.647896
3578,488,0.105758,0.080216,124.1614,0.773692
1878,488,0.105813,0.076005,157.2368,0.689325
1842,488,0.105824,0.077106,56.5504,0.764876
439,488,0.105953,0.084633,281.3766,0.769062
5481,488,0.105988,0.093425,231.7056,0.777894
1147,488,0.10599,0.088548,200.9059,0.770543
247,488,0.106056,0.086183,38.7469,0.749363
3666,488,0.106111,0.087336,216.5395,0.668407
250,488,0.106151,0.093327,222.9082,0.776597
679,488,0.106164,0.086329,159.2056,0.774675
6676,488,0.106164,0.094213,159.2518,0.777722
309,488,0.106172,0.082365,175.4743,0.781591
3410,488,0.106227,0.08232,68.8517,0.697003
2074,488,0.10625,0.084635,235.9686,0.749927
5097,488,0.10629,0.087905,164.288,0.746918
2053,488,0.106366,0.075438,54.8721,0.713497
1176,488,0.106391,0.081593,26.6428,0.641154
5039,488,0.106392,0.08938,166.9519,0.770851
5658,488,0.106398,0.093908,264.285,0.783279
1526,488,0.106408,0.082681,169.0283,0.768214
3394,488,0.106459,0.083077,108.7915,0.75016
289,488,0.106494,0.08547,193.6192,0.775324
235,488,0.106539,0.089151,192.6396,0.778991
6411,488,0.106601,0.087019,192.6047,0.765972
955,488,0.106615,0.090235,156.3161,0.597208
1556,488,0.106629,0.075028,53.5163,0.744225
2232,488,0.106667,0.081179,90.3504,0.737699
6657,488,0.106681,0.089082,236.7458,0.763729
5383,488,0.106829,0.081201,54.0622,0.696405
6121,488,0.10683,0.078971,52.6443,0.441948
3662,488,0.106959,0.09163,56.4211,0.731329
5142,488,0.106985,0.08468,191.0823,0.772348
6803,488,0.107095,0.089325,146.2089,0.771461
1531,488,0.107182,0.087372,236.0156,0.753378
1584,488,0.107207,0.079847,71.5968,0.752025
2346,488,0.107277,0.088237,249.5451,0.781788
3329,488,0.107341,0.085903,106.5421,0.720049
3043,488,0.10737,0.085655,274.5332,0.77975
3868,488,0.107373,0.090262,35.6031,0.688174
1434,488,0.107417,0.081078,29.0755,0.685225
6318,488,0.107479,0.082933,292.9752,0.760389
2533,488,0.107482,0.080396,161.2911,0.639747
1139,488,0.107509,0.08769,164.2201,0.775046
3040,488,0.107536,0.085939,278.6098,0.778904
4216,488,0.107565,0.074259,72.0129,0.658392
2047,488,0.107641,0.083441,64.9984,0.732567
2887,488,0.107694,0.090416,148.8964,0.770269
4227,488,0.107788,0.087428,169.1547,0.759505
3283,488,0.107801,0.080149,39.3421,0.747171
4605,488,0.107888,0.088793,45.9373,0.635464
5420,488,0.107894,0.079489,65.8331,0.74311
2037,488,0.107947,0.086438,126.8126,0.774434
4547,488,0.108013,0.085036,115.8356,0.746208
4827,488,0.10812,0.087518,194.5331,0.739176
4898,488,0.108194,0.082891,120.8147,0.774701
4515,488,0.108228,0.084076,60.1189,0.728013
1958,488,0.108238,0.087879,215.6664,0.739455
5395,488,0.108262,0.085155,160.1749,0.761097
2743,488,0.108291,0.087091,172.4842,0.77258
4447,488,0.108313,0.090091,138.9853,0.771636
4553,488,0.108448,0.085726,54.4183,0.731047
2741,488,0.108457,0.084517,166.8495,0.767193
32194,488,0.108464,0.080451,77.7291,0.749652
6403,488,0.108478,0.085741,80.5023,0.759559
2888,488,0.108481,0.090951,122.2811,0.743116
4846,488,0.108505,0.083403,155.5768,0.771336
5110,488,0.10858,0.086972,167.4133,0.769224
4374,488,0.108592,0.0805,30.4111,0.73446
1798,488,0.108614,0.081601,169.9012,0.764137
520,488,0.108627,0.093753,195.9017,0.778556
3323,488,0.108692,0.082058,143.136,0.778043
3672,488,0.108846,0.081241,118.2486,0.747146
2762,488,0.108977,0.086669,96.952,0.762083
4501,488,0.108984,0.08021,43.1345,0.748922
3907,488,0.108997,0.088198,128.3382,0.724851
2117,488,0.109,0.084551,223.7761,0.772287
2674,488,0.109014,0.087176,68.599,0.755729
4378,488,0.109118,0.0785,36.0079,0.743737
2025,488,0.109133,0.087693,336.4619,0.769324
3999,488,0.109166,0.08723,55.2523,0.749471
5873,488,0.109181,0.087954,157.2502,0.770806
1045,488,0.109196,0.085649,25.5466,0.620802
1244,488,0.109226,0.086497,234.5159,0.76299
5455,488,0.109289,0.082424,91.8664,0.693398
32202,488,0.109323,0.089791,64.1921,0.630219
1487,488,0.109398,0.087833,326.1901,0.780136
1298,488,0.109418,0.086717,102.7019,0.769859
3982,488,0.109438,0.087581,89.3202,0.743534
2388,488,0.109498,0.078589,71.2294,0.750778
1486,488,0.109505,0.085053,159.9973,0.77254
6143,488,0.109606,0.084399,164.7254,0.75985
5813,488,0.109607,0.08869,135.267,0.739291
178,488,0.109608,0.08955,206.2069,0.762916
1334,488,0.109685,0.081652,50.9811,0.726357
1421,488,0.10971,0.082766,120.7217,0.713948
4922,488,0.109719,0.085755,57.7611,0.697212
2257,488,0.109792,0.095296,269.5364,0.770984
2570,488,0.109838,0.086331,61.2293,0.704618
4062,488,0.1099,0.08321,78.5361,0.756573
5870,488,0.109913,0.084736,118.3559,0.762479
2135,488,0.110018,0.087538,135.8003,0.775793
1067,488,0.110068,0.084638,98.4017,0.739614
1557,488,0.110082,0.089912,195.3994,0.764461
3339,488,0.110178,0.088884,70.4744,0.751697
361,488,0.11018,0.090717,269.2966,0.783806
1324,488,0.110193,0.083772,97.7511,0.763752
3285,488,0.110295,0.07991,35.4137,0.744702
4578,488,0.110316,0.0854,84.2863,0.701018
542,488,0.110339,0.09312,282.6592,0.767281
4777,488,0.110373,0.08767,161.6046,0.687188
5986,488,0.110539,0.083316,263.7795,0.612836
5441,488,0.11057,0.087451,94.6567,0.729826
2949,488,0.11058,0.086861,116.2315,0.76149
3661,488,0.110647,0.085498,141.78,0.772863
1986,488,0.110735,0.086194,72.0851,0.781033
2364,488,0.11074,0.085811,93.4562,0.740687
2969,488,0.110841,0.08166,143.2629,0.503719
1829,488,0.110845,0.084117,130.185,0.712045
949,488,0.11085,0.090915,160.8326,0.762308
4872,488,0.110875,0.090554,201.7338,0.766654
1323,488,0.110912,0.082941,164.8133,0.762784
5373,488,0.111037,0.08632,106.9453,0.743903
4800,488,0.11106,0.093132,54.7844,0.704814
3950,488,0.111063,0.093911,257.6489,0.77297
2300,488,0.111083,0.086713,68.8104,0.744659
2202,488,0.111101,0.092636,195.0707,0.683148
4458,488,0.111121,0.080247,33.1602,0.741526
6679,488,0.111158,0.095546,134.3193,0.770767
4697,488,0.111253,0.093631,82.1422,0.745228
1784,488,0.111301,0.082358,77.4038,0.741466
1381,488,0.111339,0.087798,143.3837,0.761164
32282,488,0.111513,0.093578,120.2861,0.764407
4877,488,0.111527,0.084854,43.3048,0.502351
