Site,RMSE,MAE,MAPE (%),R2,n_test
477,0.03495726133177699,0.0347943939268589,,0.0,488
475,0.03495726133177699,0.0347943939268589,,0.0,488
471,0.03495726133177699,0.0347943939268589,,0.0,488
470,0.03495726133177699,0.0347943939268589,,0.0,488
7538,0.03495726133177699,0.0347943939268589,,0.0,488
2774,0.03495726133177699,0.0347943939268589,,0.0,488
24426,0.03495726133177699,0.0347943939268589,,0.0,488
9902,0.03495726133177699,0.0347943939268589,,0.0,488
9901,0.03495726133177699,0.0347943939268589,,0.0,488
9263,0.03495726133177699,0.0347943939268589,,0.0,488
7987,0.03495726133177699,0.0347943939268589,,0.0,488
452,0.03495726133177699,0.0347943939268589,,0.0,488
7230,0.03495726133177699,0.0347943939268589,,0.0,488
7233,0.03495726133177699,0.0347943939268589,,0.0,488
7232,0.03495726133177699,0.0347943939268589,,0.0,488
7231,0.03495726133177699,0.0347943939268589,,0.0,488
3978,0.03495726133177699,0.0347943939268589,,0.0,488
7050,0.03495726133177699,0.0347943939268589,,0.0,488
486,0.03495726133177699,0.0347943939268589,,0.0,488
485,0.03495726133177699,0.0347943939268589,,0.0,488
32084,0.03495726133177699,0.0347943939268589,,0.0,488
4194,0.03495726133177699,0.0347943939268589,,0.0,488
5464,0.03495726133177699,0.0347943939268589,,0.0,488
377,0.03496503652752393,0.028471216559410095,8.947370529174805,0.9787132143974304,488
785,0.034981001059690195,0.028492024168372154,9.928030014038086,0.9851281642913818,488
3700,0.03498901719337954,0.028829028829932213,10.74350643157959,0.9871910810470581,488
2645,0.03500819322414788,0.028202779591083527,8.782475471496582,0.9852423071861267,488
1507,0.03503163923297002,0.02774837799370289,10.482421875,0.9805012345314026,488
2598,0.03505864103521277,0.02815527841448784,8.83651065826416,0.9853917360305786,488
2866,0.03508565523728012,0.028841199353337288,9.89813232421875,0.9862167239189148,488
2507,0.03511030287454487,0.028525127097964287,9.005558013916016,0.9837592244148254,488
3594,0.035112945390059006,0.028423316776752472,9.928044319152832,0.9796878099441528,488
166,0.035121713668580155,0.028566846624016762,9.546720504760742,0.9827250242233276,488
702,0.035176441897574955,0.02833300270140171,10.685196876525879,0.9775145053863525,488
174,0.03518043289002728,0.029116732999682426,9.468196868896484,0.985235869884491,488
2814,0.035229391598838755,0.026437288150191307,9.532172203063965,0.9839057326316833,488
2405,0.03523836050679045,0.027680883184075356,5.448475360870361,0.9750317931175232,488
1012,0.035238527340881225,0.027615468949079514,8.021370887756348,0.9850462675094604,488
179,0.03526428629895314,0.028112877160310745,9.298401832580566,0.9846843481063843,488
5890,0.035286311792113945,0.03507126867771149,,0.0,200
3652,0.035342675878256215,0.028376752510666847,9.322149276733398,0.9823191165924072,488
705,0.03535854069190747,0.028860975056886673,10.049899101257324,0.9814984202384949,488
2208,0.03537822391119043,0.029031118378043175,10.091294288635254,0.9853537678718567,488
3173,0.035382608354147596,0.028676019981503487,9.402372360229492,0.9815883040428162,488
796,0.035396028118332444,0.02764262445271015,9.409041404724121,0.9808391332626343,488
5239,0.035423074229149,0.027882423251867294,11.812687873840332,0.9559159278869629,488
330,0.035442703544231915,0.029555320739746094,9.85326862335205,0.985417366027832,488
700,0.03546550287389875,0.02881140448153019,9.237822532653809,0.9862316250801086,488
4901,0.035468566950250066,0.02805348113179207,9.45195198059082,0.9810154438018799,488
2656,0.03546935303108201,0.02813877910375595,8.545085906982422,0.9769413471221924,488
2337,0.03550046226490543,0.027268391102552414,9.260457038879395,0.9850547909736633,488
661,0.03550541360544743,0.02833908423781395,8.82363510131836,0.9833391904830933,488
1962,0.035529065583244625,0.028399689123034477,9.581048011779785,0.982439398765564,488
4638,0.03553252061326681,0.02794068679213524,10.159611701965332,0.983313262462616,488
3946,0.03553741015982853,0.028799615800380707,9.152356147766113,0.9861587882041931,488
2956,0.0355515573897002,0.029151491820812225,9.767416954040527,0.9839069843292236,488
3742,0.03558922422181972,0.02916407771408558,10.186262130737305,0.9843174815177917,488
4902,0.03561009252253407,0.02881241962313652,10.554658889770508,0.9802675247192383,488
4115,0.035619738526452706,0.028185730800032616,8.952850341796875,0.9831579923629761,488
3382,0.03565094674523644,0.029003232717514038,9.095463752746582,0.9831355810165405,488
844,0.03565313124442633,0.02922024577856064,10.215503692626953,0.9855462908744812,488
592,0.03569344045679404,0.029518358409404755,10.542149543762207,0.980644941329956,488
3734,0.03569686979364582,0.02860388718545437,9.83458423614502,0.9856109619140625,488
32125,0.03570225040003126,0.027757922187447548,9.28003978729248,0.9797437787055969,488
2428,0.03572330849157923,0.028006678447127342,8.690346717834473,0.9822993278503418,488
1397,0.03572509590179683,0.028058059513568878,9.528465270996094,0.9790952205657959,488
3519,0.03577849772906213,0.02823827415704727,7.542026042938232,0.98221755027771,488
2639,0.03578686221692729,0.028228318318724632,9.378852844238281,0.9846874475479126,488
