Site,Samples,RMSE,MAE,MAPE (%),R2
5036,488,0.091449,0.076647,123.1495,0.818307
2473,488,0.091478,0.071458,132.7374,0.807465
5611,488,0.091505,0.081527,188.6759,0.805592
1987,488,0.091561,0.071818,101.6564,0.81432
1246,488,0.091635,0.073314,70.7537,0.830335
5841,488,0.091645,0.079882,449.5203,0.698119
3999,488,0.091855,0.075719,70.4483,0.822629
2129,488,0.091899,0.072208,90.6588,0.781856
2911,488,0.091974,0.075676,91.6525,0.579193
1045,488,0.092014,0.072722,26.8198,0.730747
4515,488,0.092032,0.074416,76.4769,0.803323
1347,488,0.092039,0.081448,764.833,0.390769
6285,488,0.092072,0.076687,356.7462,0.784304
3586,488,0.092077,0.072123,211.2381,0.665363
5336,488,0.092247,0.081941,155.3125,0.817727
1991,488,0.09228,0.070751,94.761,0.787721
2674,488,0.092288,0.078777,93.6032,0.824934
3339,488,0.092326,0.07623,96.0192,0.825642
2300,488,0.092363,0.075877,93.1181,0.823469
3575,488,0.092415,0.073512,251.8045,0.756444
3631,488,0.09242,0.075464,473.9793,0.45926
2080,488,0.092423,0.073932,207.6535,0.720855
4557,488,0.092488,0.077767,197.676,0.804626
3749,488,0.09271,0.076578,84.7687,0.826656
4603,488,0.09272,0.076423,72.1332,0.556874
303,488,0.092764,0.075077,122.2709,0.68312
3027,488,0.092804,0.079676,389.5353,0.816207
1556,488,0.092866,0.069799,72.6132,0.805992
1798,488,0.092969,0.07334,233.0595,0.827192
4503,488,0.09304,0.06951,180.2716,0.596919
2697,488,0.093043,0.073629,176.6565,0.709115
5041,488,0.093103,0.078867,217.766,0.805445
1716,488,0.09318,0.07552,194.0162,0.816506
4800,488,0.093192,0.080557,70.2972,0.792157
1176,488,0.093317,0.072406,28.3859,0.723927
1531,488,0.093348,0.077995,350.0592,0.812934
4605,488,0.093408,0.077422,49.3522,0.726748
4486,488,0.093426,0.076662,29.9477,0.796359
3546,488,0.093437,0.07941,240.1543,0.811386
4626,488,0.093571,0.08265,211.9204,0.82238
2243,488,0.093594,0.072249,131.4521,0.766162
32194,488,0.093644,0.074759,106.8364,0.813393
2839,488,0.093708,0.076948,112.7412,0.797643
1147,488,0.093803,0.080342,301.1577,0.820276
1212,488,0.093811,0.074313,155.7613,0.79732
5340,488,0.093828,0.077699,346.7375,0.765832
2577,488,0.093857,0.073169,112.0135,0.780561
5402,488,0.093889,0.081102,392.1615,0.755655
3627,488,0.093911,0.082566,279.9772,0.701792
6724,488,0.093998,0.083221,371.5252,0.766416
5039,488,0.094061,0.080898,248.3648,0.820891
4767,488,0.094085,0.077796,197.9516,0.795721
2582,488,0.094086,0.077007,187.5874,0.803642
1377,488,0.094101,0.075951,579.129,0.764948
1159,488,0.094107,0.076177,136.3175,0.819004
967,488,0.094203,0.078757,263.6922,0.795698
3284,488,0.094426,0.076412,47.3392,0.812488
4772,488,0.09456,0.066383,38.6447,0.618072
927,488,0.094566,0.088138,191.6234,-0.337698
5099,488,0.094592,0.078331,310.9645,0.769966
6816,488,0.094634,0.079295,343.9872,0.789683
4425,488,0.094639,0.078616,215.7711,0.773771
312,488,0.094654,0.076322,261.2947,0.822823
5441,488,0.094655,0.077755,131.0161,0.802003
1215,488,0.094672,0.075567,226.5567,0.790802
1469,488,0.094701,0.073663,115.5408,0.783585
4086,488,0.094719,0.080006,293.7946,0.783683
1139,488,0.094737,0.079413,242.972,0.82532
4447,488,0.094737,0.081065,197.4127,0.825292
5500,488,0.094788,0.076595,271.2572,0.816633
1734,488,0.094819,0.077171,220.4791,0.68486
2072,488,0.09484,0.078461,365.494,0.781569
2762,488,0.094962,0.077051,135.9954,0.819342
3478,488,0.094968,0.076319,128.557,0.82681
4578,488,0.094973,0.075973,104.6169,0.778399
3880,488,0.094981,0.07826,42.2261,0.782561
1526,488,0.095028,0.078565,250.9367,0.815138
206,488,0.095034,0.06953,104.9756,0.692404
522,488,0.095034,0.077347,98.8884,0.822243
1243,488,0.095071,0.077178,81.8421,0.825087
1509,488,0.095073,0.079061,309.418,0.794419
2047,488,0.095181,0.075878,85.3698,0.790899
32025,488,0.095183,0.074933,158.3847,0.804453
5482,488,0.095196,0.083345,539.6442,0.726697
2486,488,0.095221,0.083168,607.5807,0.58381
